CollectionObject.nodeId,CollectionObject.uri,CollectionObject.objectNumber,Exhibition.enValue,Exhibition.nodeId
5a9a5397c2f5705be165763c90c7ca5b,https://id.rijksmuseum.nl/200148918,RP-P-1953-876,Kraamkamers van de kunst,196a81e9b60e2198667497ac14e140c8
bc8d2fa477aead98e72964c46e2119b4,https://id.rijksmuseum.nl/200411900,RP-P-1998-687,Kraamkamers van de kunst,196a81e9b60e2198667497ac14e140c8
b5f24c9b1750fc6da14e3e021fe3a2cc,https://id.rijksmuseum.nl/200164583,RP-P-OB-42.183,Kraamkamers van de kunst,196a81e9b60e2198667497ac14e140c8
3d17c2c342f25babdf1dc8d8b2a6e6ab,https://id.rijksmuseum.nl/200164586,RP-P-OB-42.186,Kraamkamers van de kunst,196a81e9b60e2198667497ac14e140c8
664fe5c29623ba5b062ed7a1b667a011,https://id.rijksmuseum.nl/200146804,RP-P-OB-38.938,Kraamkamers van de kunst,196a81e9b60e2198667497ac14e140c8
a72509f0b50f6c43365101e76f44f44f,https://id.rijksmuseum.nl/200149927,RP-P-1952-373,Kraamkamers van de kunst,196a81e9b60e2198667497ac14e140c8
50dffb0b9119c5b57b28f954491b10d6,https://id.rijksmuseum.nl/200164585,RP-P-OB-42.185,Kraamkamers van de kunst,196a81e9b60e2198667497ac14e140c8
2a4535cfc26426370ba6ad3f6fc761ce,https://id.rijksmuseum.nl/200164584,RP-P-OB-42.184,Kraamkamers van de kunst,196a81e9b60e2198667497ac14e140c8
e25a0e2a80e8b8fac805ef18c1635e31,https://id.rijksmuseum.nl/200261254,RP-P-1892-A-17347,De spiegel van alledag. Nederlandse genreprenten uit de 16de en 17de eeuw,00335142eaade05df9f5ea07643438c6
ba2510587293274099b3e41c4c32d4d2,https://id.rijksmuseum.nl/200392759,RP-P-1887-A-11533,De spiegel van alledag. Nederlandse genreprenten uit de 16de en 17de eeuw,00335142eaade05df9f5ea07643438c6
98ffe6554ddf0f93c1b14b821334c49d,https://id.rijksmuseum.nl/200415958,RP-P-1991-644,Surimono. Poëzie en beeld in de Japanse prenten,ab7b0a08aeea97aecf7b42295592807d
47d61e9f6e8e6e75f0a63cd623b1e50a,https://id.rijksmuseum.nl/200415956,RP-P-1991-685,Surimono. Poëzie en beeld in de Japanse prenten,ab7b0a08aeea97aecf7b42295592807d
0ead4d968a21209b0bfb27b7b5db22b4,https://id.rijksmuseum.nl/20031630,BK-NM-8327,"Dageraad der Gouden Eeuw, Noordnederlandse kunst 1580-1600",75a462bb373d05b214c9eada3746201c
73435d485dcf3f1e982450e6b99b721b,https://id.rijksmuseum.nl/20020356,BK-KOG-19-B,"Dageraad der Gouden Eeuw, Noordnederlandse kunst 1580-1600",75a462bb373d05b214c9eada3746201c
07c002ceea2f0010a7c7790812a46787,https://id.rijksmuseum.nl/200106166,BK-1973-379-A,"Dageraad der Gouden Eeuw, Noordnederlandse kunst 1580-1600",75a462bb373d05b214c9eada3746201c
33800fb960a769a188b8142af1dcfb2f,https://id.rijksmuseum.nl/20017776,BK-KOG-19-A,"Dageraad der Gouden Eeuw, Noordnederlandse kunst 1580-1600",75a462bb373d05b214c9eada3746201c
e643bdee96462fdf72a10abc604fc25e,https://id.rijksmuseum.nl/2006388,BK-NM-13112,"Dageraad der Gouden Eeuw, Noordnederlandse kunst 1580-1600",75a462bb373d05b214c9eada3746201c
0efd273b7a2f30fc8c78173f382ffb15,https://id.rijksmuseum.nl/20020540,BK-18961-B,"Dageraad der Gouden Eeuw, Noordnederlandse kunst 1580-1600",75a462bb373d05b214c9eada3746201c
7addfdf62d23a5fc1521686b3ae0144f,https://id.rijksmuseum.nl/20013253,BK-NM-5573,"Dageraad der Gouden Eeuw, Noordnederlandse kunst 1580-1600",75a462bb373d05b214c9eada3746201c
0800bda431e1da63480813444af75d1a,https://id.rijksmuseum.nl/20057240,BK-NM-3086,"Dageraad der Gouden Eeuw, Noordnederlandse kunst 1580-1600",75a462bb373d05b214c9eada3746201c
f686fd672ccaf9e54cc470f040674a9c,https://id.rijksmuseum.nl/20017777,BK-18961-A,"Dageraad der Gouden Eeuw, Noordnederlandse kunst 1580-1600",75a462bb373d05b214c9eada3746201c
0ead4d968a21209b0bfb27b7b5db22b4,https://id.rijksmuseum.nl/20031630,BK-NM-8327,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
271fe1677f05593a1f7e37171ab64311,https://id.rijksmuseum.nl/20063535,BK-1997-31,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
087b2f80b2214ca018eb9021125aed56,https://id.rijksmuseum.nl/20035226,NG-NM-1101,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
2c8a9be7121bc9c77f8e9d523d708f7b,https://id.rijksmuseum.nl/20061675,BK-KOG-1222,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
81ac6c425ff49726c67a7bd5397ee1b3,https://id.rijksmuseum.nl/20030778,BK-1978-316-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
773e926a4cce6dc02c87b03861d447ab,https://id.rijksmuseum.nl/20030780,BK-1978-314-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
b72ca33dd7aa2aa77f6ca618b561c2e9,https://id.rijksmuseum.nl/20012428,BK-NM-1108,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
8e29a27b60b114268a5a73311d41230a,https://id.rijksmuseum.nl/20036554,BK-NM-12260-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
07de60a8503b7d72bdfac09dabc463d0,https://id.rijksmuseum.nl/20062946,BK-NM-12260-B,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
c21a6798b30101cb805ebc88655e80f5,https://id.rijksmuseum.nl/20056660,NG-695-8,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
91e4cefb9f0c731e4ceff6d2ca1c5046,https://id.rijksmuseum.nl/20037962,BK-NM-12310-B-2,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
e8bae8baa8092ab4aabf5bc39ae6b878,https://id.rijksmuseum.nl/20060640,BK-NM-12310-B-1,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
97c655bb35f3395701bf5c38c61ac27f,https://id.rijksmuseum.nl/20036174,BK-14987,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
86d53946a3b35126b22a83d4a9bb3004,https://id.rijksmuseum.nl/20030840,BK-1954-55-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
